Latitude,Longitude,Flood depth (m)
26.128,91.75,0.026526356
26.136,91.674,0.02655911
26.17,91.751,0.026561875
26.17,91.759,0.026665635
26.108,91.716,0.026770053
26.124,91.77,0.026777887
26.165,91.779,0.026791062
26.17,91.76,0.02679781
26.187,91.8,0.026900833
26.125,91.77,0.026943624
26.115,91.802,0.026955764
26.171,91.793,0.027010884
26.14,91.768,0.027191336
26.144,91.782,0.027328568
26.174,91.756,0.027331009
26.144,91.781,0.027346895
26.128,91.748,0.027380433
26.172,91.757,0.02739677
26.187,91.801,0.027494485
26.171,91.754,0.027518311
26.145,91.78,0.027573597
26.117,91.804,0.02759388
26.126,91.737,0.027597768
26.173,91.79,0.027610896
26.116,91.802,0.027623944
26.18,91.754,0.027628334
26.145,91.781,0.027682996
26.165,91.73,0.0277072
26.188,91.801,0.027731874
26.158,91.753,0.027751703
26.127,91.753,0.027859845
26.161,91.745,0.027866385
26.188,91.802,0.027926636
26.186,91.802,0.027928393
26.187,91.802,0.027928419
26.176,91.77,0.027943661
26.141,91.769,0.027986825
26.128,91.749,0.028016257
26.135,91.749,0.028051925
26.169,91.755,0.02809402
26.133,91.752,0.02813966
26.187,91.803,0.028162124
26.187,91.804,0.028164058
26.145,91.742,0.028245485
26.15,91.803,0.028316543
26.128,91.755,0.028350987
26.152,91.753,0.028354108
26.171,91.792,0.028450792
26.144,91.783,0.028455708
26.128,91.756,0.028472657
26.186,91.804,0.028521464
26.173,91.791,0.028555434
26.144,91.748,0.028578141
26.114,91.805,0.028610044
26.19,91.777,0.028623915
26.186,91.805,0.028729649
26.186,91.806,0.028879218
26.116,91.803,0.028888779
26.117,91.803,0.028895669
26.166,91.728,0.028905253
26.128,91.742,0.028905313
26.136,91.675,0.029012775
26.128,91.758,0.029056494
26.175,91.758,0.029065008
26.165,91.76,0.029095831
26.179,91.76,0.029146464
26.182,91.786,0.02917418
26.125,91.738,0.029175415
26.182,91.785,0.029175873
26.136,91.773,0.029249976
26.106,91.772,0.029288063
26.144,91.752,0.029304414
26.186,91.807,0.029306185
26.172,91.794,0.029317808
26.175,91.768,0.0293275
26.15,91.802,0.029411709
26.178,91.76,0.02941772
26.178,91.761,0.02941772
26.178,91.762,0.02941772
26.187,91.791,0.029419093
26.131,91.734,0.029421558
26.176,91.771,0.029423285
26.174,91.77,0.02959991
26.165,91.731,0.029673235
26.174,91.769,0.029704297
26.186,91.808,0.029719229
26.185,91.808,0.029736385
26.181,91.76,0.029805157
26.125,91.743,0.029827058
26.113,91.805,0.029837451
26.185,91.809,0.030129564
26.184,91.809,0.030136111
26.183,91.809,0.030155451
26.131,91.737,0.030241358
26.165,91.732,0.030278313
26.168,91.785,0.030335059
26.173,91.757,0.030438976
26.15,91.801,0.030463476
26.182,91.81,0.03058157
26.134,91.751,0.030597553
26.167,91.769,0.030620315
26.133,91.751,0.030632896
26.13,91.824,0.030771916
26.125,91.821,0.030824823
26.173,91.792,0.030828459
26.171,91.791,0.030864758
26.169,91.764,0.030882959
26.128,91.746,0.030904579
26.143,91.753,0.031053867
26.13,91.825,0.031054332
26.168,91.753,0.031063051
26.126,91.821,0.031091113
26.182,91.787,0.031140537
26.118,91.804,0.031178412
26.117,91.805,0.031181526
26.167,91.77,0.031297266
26.175,91.767,0.031365795
26.183,91.812,0.031375959
26.133,91.733,0.03138854
26.116,91.804,0.031482451
26.127,91.821,0.031487966
